"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"877","1hr Report : 10:00:34 UTC Top 10 Mentions
$BTC, $NEO, $ETH, $LTC, $BCH, $OMG, $MTL, $ARK, $DASH, $MCO https://t.co/g5yKNZTfpK",FALSE,2,NA,2017-08-19 10:00:36,FALSE,NA,"898847154961133568",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",7,FALSE,FALSE,NA,NA
"875","1hr Report : 11:00:37 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $OMG, $MTL, $ARK, $DASH, $MCO https://t.co/QMMP9HuUqe",FALSE,3,NA,2017-08-19 11:00:38,FALSE,NA,"898862265050341376",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",5,FALSE,FALSE,NA,NA
"874","1hr Report : 12:00:40 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $OMG, $MTL, $ARK, $DASH, $ETC https://t.co/8YaTAPJnnJ",FALSE,2,NA,2017-08-19 12:00:40,FALSE,NA,"898877373516468224",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",7,FALSE,FALSE,NA,NA
"873","1hr Report : 13:00:43 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $OMG, $MTL, $ARK, $ETC, $DASH https://t.co/h46jWO53CG",FALSE,9,NA,2017-08-19 13:00:44,FALSE,NA,"898892488773177344",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",12,FALSE,FALSE,NA,NA
"870","1hr Report : 16:00:30 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DASH, $OMG, $ETC, $MTL, $ARK https://t.co/60odCRWxzz",FALSE,3,NA,2017-08-19 16:00:31,FALSE,NA,"898937731828658178",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",10,FALSE,FALSE,NA,NA
"869","1hr Report : 17:00:29 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DASH, $OMG, $ETC, $MTL, $ARK https://t.co/HgHCm31hRa",FALSE,3,NA,2017-08-19 17:00:30,FALSE,NA,"898952829280305152",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",7,FALSE,FALSE,NA,NA
"868","1hr Report : 18:00:35 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DASH, $OMG, $ETC, $MTL, $MCO https://t.co/qLlmuE1jGp",FALSE,1,NA,2017-08-19 18:00:36,FALSE,NA,"898967951260491777",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"867","1hr Report : 19:00:33 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DASH, $OMG, $ETC, $MTL, $MCO https://t.co/mLSVy2kteG",FALSE,4,NA,2017-08-19 19:00:34,FALSE,NA,"898983042731167744",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",2,FALSE,FALSE,NA,NA
"866","1hr Report : 20:00:34 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DASH, $OMG, $ETC, $MTL, $ZEC https://t.co/mGL3lBUXwu",FALSE,2,NA,2017-08-19 20:00:35,FALSE,NA,"898998146629591040",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",2,FALSE,FALSE,NA,NA
"865","1hr Report : 21:00:37 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DASH, $OMG, $ETC, $MTL, $ZEC https://t.co/L3FUUbsJnc",FALSE,1,NA,2017-08-19 21:00:38,FALSE,NA,"899013258677555201",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"864","1hr Report : 22:00:39 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DASH, $OMG, $ETC, $MTL, $ZEC https://t.co/rUJh32KTrz",FALSE,5,NA,2017-08-19 22:00:40,FALSE,NA,"899028366808031234",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",3,FALSE,FALSE,NA,NA
"863","1hr Report : 23:00:39 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $DASH, $OMG, $ETC, $ZEC, $MTL https://t.co/LSAHnaDhcd",FALSE,0,NA,2017-08-19 23:00:40,FALSE,NA,"899043468063809537",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"862","1hr Report : 00:00:42 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $DASH, $OMG, $ETC, $ZEC, $MTL https://t.co/53ZIsVQldx",FALSE,1,NA,2017-08-20 00:00:43,FALSE,NA,"899058576702021634",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"861","1hr Report : 01:00:09 UTC Top 10 Mentions
$BTC, $BCH, $ETH, $LTC, $NEO, $DASH, $LSK, $PAY, $ZEC, $ETC https://t.co/D5MqyRwnx8",FALSE,1,NA,2017-08-20 01:00:10,FALSE,NA,"899073540426801152",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"860","1hr Report : 02:00:10 UTC Top 10 Mentions
$BTC, $BCH, $ETH, $LTC, $NEO, $DASH, $ZEC, $LSK, $PAY, $ETC https://t.co/j3IJBa401x",FALSE,0,NA,2017-08-20 02:00:11,FALSE,NA,"899088642991325184",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"859","1hr Report : 03:00:12 UTC Top 10 Mentions
$BTC, $BCH, $ETH, $LTC, $NEO, $DASH, $ZEC, $LSK, $ETC, $PAY https://t.co/wKuPJsg1fO",FALSE,2,NA,2017-08-20 03:00:12,FALSE,NA,"899103748143886338",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",2,FALSE,FALSE,NA,NA
"858","1hr Report : 04:00:14 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $LTC, $NEO, $DASH, $ZEC, $ETC, $LSK, $PAY https://t.co/aRn8N0TlxD",FALSE,2,NA,2017-08-20 04:00:15,FALSE,NA,"899118858266652676",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"857","1hr Report : 05:00:10 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $MCO, $LTC, $OMG, $DASH, $ZEC, $ETC https://t.co/qI7Im690Wl",FALSE,1,NA,2017-08-20 05:00:10,FALSE,NA,"899133939163508736",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"856","1hr Report : 06:00:10 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $DASH, $MCO, $LTC, $OMG, $ZEC, $ETC https://t.co/gbNFKdzdbL",FALSE,0,NA,2017-08-20 06:00:11,FALSE,NA,"899149042617376768",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",2,FALSE,FALSE,NA,NA
"855","1hr Report : 07:00:12 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $DASH, $MCO, $ZEC, $OMG, $LSK https://t.co/xn5SMSlC1i",FALSE,3,NA,2017-08-20 07:00:14,FALSE,NA,"899164152152948737",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"854","1hr Report : 08:00:13 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $DASH, $LTC, $MCO, $ZEC, $LSK, $OMG https://t.co/snGbVJIwlK",FALSE,1,NA,2017-08-20 08:00:14,FALSE,NA,"899179253572538368",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"853","1hr Report : 09:00:14 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $DASH, $LTC, $MCO, $ZEC, $LSK, $OMG https://t.co/ZcHQ5dicQw",FALSE,0,NA,2017-08-20 09:00:14,FALSE,NA,"899194353532456961",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"852","1hr Report : 10:10:36 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $DASH, $MCO, $ZEC, $LSK, $OMG https://t.co/bam92dxknr",FALSE,1,NA,2017-08-20 10:10:36,FALSE,NA,"899212062391402496",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",3,FALSE,FALSE,NA,NA
"851","1hr Report : 11:00:17 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DASH, $MCO, $ZEC, $ETC, $DGB https://t.co/NetMLn9V8c",FALSE,9,NA,2017-08-20 11:00:17,FALSE,NA,"899224565259350016",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",3,FALSE,FALSE,NA,NA
"850","1hr Report : 12:00:18 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DASH, $MCO, $DGB, $ZEC, $ETC https://t.co/fGX9xE5d6S",FALSE,1,NA,2017-08-20 12:00:19,FALSE,NA,"899239671238193152",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",2,FALSE,FALSE,NA,NA
"849","1hr Report : 13:00:20 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DGB, $DASH, $MCO, $ETC, $ZEC https://t.co/4PotmSd6xS",FALSE,2,NA,2017-08-20 13:00:21,FALSE,NA,"899254778114473984",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"848","1hr Report : 14:00:21 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $DGB, $DASH, $MCO, $ETC, $ZEC https://t.co/UuQpe1SNid",FALSE,0,NA,2017-08-20 14:00:22,FALSE,NA,"899269882361118722",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"847","1hr Report : 15:00:23 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $DGB, $DASH, $LSK, $MCO, $ZEC https://t.co/696V1LHa9V",FALSE,0,NA,2017-08-20 15:00:23,FALSE,NA,"899284988511870978",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"846","1hr Report : 16:00:25 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $LSK, $DGB, $DASH, $MCO, $ZEC https://t.co/M8rTLUWz5e",FALSE,1,NA,2017-08-20 16:00:25,FALSE,NA,"899300096730431490",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"845","1hr Report : 17:00:26 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $LSK, $DGB, $DASH, $ZEC, $XCP https://t.co/Az5ZP6cr25",FALSE,1,NA,2017-08-20 17:00:27,FALSE,NA,"899315203388715008",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",5,FALSE,FALSE,NA,NA
"844","1hr Report : 18:00:28 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $ZEC, $LSK, $DGB, $DASH, $XCP https://t.co/9JhExzXZa7",FALSE,2,NA,2017-08-20 18:00:28,FALSE,NA,"899330308201480193",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",4,FALSE,FALSE,NA,NA
"843","1hr Report : 19:00:30 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $BCH, $LTC, $ZEC, $XCP, $DGB, $DASH, $LSK https://t.co/5JJcNCgpra",FALSE,2,NA,2017-08-20 19:00:31,FALSE,NA,"899345416797466625",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",4,FALSE,FALSE,NA,NA
"842","1hr Report : 20:00:31 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $ZEC, $XCP, $DASH, $DGB, $LSK https://t.co/pBMyOLqSrs",FALSE,0,NA,2017-08-20 20:00:32,FALSE,NA,"899360521161502720",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",3,FALSE,FALSE,NA,NA
"841","1hr Report : 21:00:32 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $ZEC, $DASH, $XCP, $DGB, $OMG https://t.co/LY27DTyvXK",FALSE,1,NA,2017-08-20 21:00:33,FALSE,NA,"899375625663918084",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",7,FALSE,FALSE,NA,NA
"840","1hr Report : 22:00:34 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $ZEC, $DASH, $DGB, $XCP, $OMG https://t.co/Py6OhQ7ElF",FALSE,0,NA,2017-08-20 22:00:35,FALSE,NA,"899390734339645442",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",4,FALSE,FALSE,NA,NA
"839","1hr Report : 23:00:35 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $DGB, $ZEC, $DASH, $XCP, $OMG https://t.co/13rUP5Tqla",FALSE,1,NA,2017-08-20 23:00:36,FALSE,NA,"899405837701197828",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",3,FALSE,FALSE,NA,NA
"838","1hr Report : 00:00:35 UTC Top 10 Mentions
$BTC, $ETH, $BCH, $NEO, $LTC, $DGB, $ZEC, $DASH, $XCP, $OMG https://t.co/64fGZq9AXu",FALSE,4,NA,2017-08-21 00:00:36,FALSE,NA,"899420937874964481",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",3,FALSE,FALSE,NA,NA
"837","1hr Report : 01:00:10 UTC Top 10 Mentions
$BTC, $ETH, $DGB, $DASH, $LTC, $ZEC, $BCH, $NEO, $BAT, $GAME https://t.co/TRiWHxRk0h",FALSE,4,NA,2017-08-21 01:00:11,FALSE,NA,"899435930888613888",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",7,FALSE,FALSE,NA,NA
"836","1hr Report : 02:00:09 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $DGB, $NEO, $BCH, $DASH, $ZEC, $ETC, $BAT https://t.co/qnO5HMHqLH",FALSE,1,NA,2017-08-21 02:00:10,FALSE,NA,"899451027145068544",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",7,FALSE,FALSE,NA,NA
"835","1hr Report : 03:00:10 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $BCH, $NEO, $DGB, $DASH, $ZEC, $ETC, $BAT https://t.co/j4Wgmm6Chu",FALSE,2,NA,2017-08-21 03:00:11,FALSE,NA,"899466131378929665",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",10,FALSE,FALSE,NA,NA
"834","1hr Report : 04:00:12 UTC Top 10 Mentions
$BTC, $ETH, $LTC, $BCH, $NEO, $DASH, $DGB, $ZEC, $ETC, $BAT https://t.co/CTAUXyQ0mw",FALSE,0,NA,2017-08-21 04:00:13,FALSE,NA,"899481238435704832",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",7,FALSE,FALSE,NA,NA
"833","1hr Report : 06:00:09 UTC Top 10 Mentions
$BTC, $ETH, $NEO, $DGB, $BCH, $LTC, $DASH, $ARK, $ETC, $ZEC https://t.co/HSHh0oRuRK",FALSE,1,NA,2017-08-21 06:00:10,FALSE,NA,"899511423306526720",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",4,FALSE,FALSE,NA,NA
"832","1hr Report : 07:00:10 UTC Top 10 Mentions
$ETH, $BTC, $NEO, $BCH, $LTC, $DGB, $ETC, $DASH, $ZEC, $BNT https://t.co/hXlkZmMWWj",FALSE,2,NA,2017-08-21 07:00:10,FALSE,NA,"899526525439139840",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",8,FALSE,FALSE,NA,NA
"831","1hr Report : 08:00:11 UTC Top 10 Mentions
$ETH, $BTC, $NEO, $LTC, $BCH, $DGB, $ETC, $DASH, $ZEC, $XMR https://t.co/U8vhHKgvxY",FALSE,3,NA,2017-08-21 08:00:12,FALSE,NA,"899541630444875777",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"830","1hr Report : 09:00:12 UTC Top 10 Mentions
$ETH, $BTC, $XMR, $NEO, $LTC, $BCH, $ZEC, $ETC, $DGB, $DASH https://t.co/QrPvU3Rulw",FALSE,2,NA,2017-08-21 09:00:13,FALSE,NA,"899556736163557377",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",2,FALSE,FALSE,NA,NA
"829","1hr Report : 10:00:14 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ZEC, $BCH, $DGB, $DASH, $ETC https://t.co/vkdEiRKvw1",FALSE,0,NA,2017-08-21 10:00:15,FALSE,NA,"899571843471953920",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"828","1hr Report : 11:00:16 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $LTC, $NEO, $ZEC, $ETC, $DGB, $DASH, $BCH https://t.co/e9vW7Rqmd1",FALSE,1,NA,2017-08-21 11:00:17,FALSE,NA,"899586952890109952",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",3,FALSE,FALSE,NA,NA
"827","1hr Report : 12:00:17 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ZEC, $ETC, $XCP, $DASH, $BCH https://t.co/tnHFInTlDZ",FALSE,1,NA,2017-08-21 12:00:18,FALSE,NA,"899602055538585601",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",2,FALSE,FALSE,NA,NA
"826","1hr Report : 13:00:19 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ZEC, $ETC, $XCP, $DASH, $DGB https://t.co/yDJbj3z34p",FALSE,1,NA,2017-08-21 13:00:20,FALSE,NA,"899617161920094208",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",4,FALSE,FALSE,NA,NA
"825","1hr Report : 14:00:35 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ZEC, $ETC, $XCP, $DGB, $DASH https://t.co/R73rpxb5cJ",FALSE,3,NA,2017-08-21 14:00:36,FALSE,NA,"899632328267399172",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",6,FALSE,FALSE,NA,NA
"824","1hr Report : 15:00:37 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ZEC, $ETC, $BCH, $DGB, $XCP https://t.co/UJcGpfxsuq",FALSE,0,NA,2017-08-21 15:00:38,FALSE,NA,"899647438142623744",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",3,FALSE,FALSE,NA,NA
"823","1hr Report : 16:00:40 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ZEC, $ETC, $BCH, $DGB, $DASH https://t.co/wRJs9KXQvJ",FALSE,1,NA,2017-08-21 16:00:41,FALSE,NA,"899662550849245185",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",2,FALSE,FALSE,NA,NA
"822","1hr Report : 17:00:28 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ETC, $ZEC, $BCH, $DGB, $DASH https://t.co/Y3ws3dtCVi",FALSE,2,NA,2017-08-21 17:00:29,FALSE,NA,"899677597830918145",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"821","1hr Report : 18:00:28 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ETC, $ZEC, $BCH, $DGB, $DASH https://t.co/bDVeOh86DZ",FALSE,4,NA,2017-08-21 18:00:29,FALSE,NA,"899692697413353475",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
"820","1hr Report : 19:00:55 UTC Top 10 Mentions
$BTC, $ETH, $XMR, $NEO, $LTC, $ETC, $BCH, $ZEC, $XRP, $DGB https://t.co/gH3XuCkdAe",FALSE,1,NA,2017-08-21 19:00:56,FALSE,NA,"899707910837739520",NA,"<a href=\"https://CryptoWatsons.com\" rel=\"nofollow\">Crypto Watson (Beta)</a>","CryptoWatson",1,FALSE,FALSE,NA,NA
